Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Ticket,family_size,average_Fare
22.0,S,7.25,0,3,male,1,0.0,A,2,3.625
38.0,C,71.2833,0,1,female,1,1.0,P,2,35.64165
26.0,S,7.925,0,3,female,0,1.0,S,1,7.925
35.0,S,53.1,0,1,female,1,1.0,U,2,26.55
35.0,S,8.05,0,3,male,0,0.0,U,1,8.05
29.881137667304014,Q,8.4583,0,3,male,0,0.0,U,1,8.4583
54.0,S,51.8625,0,1,male,0,0.0,U,1,51.8625
2.0,S,21.075,1,3,male,3,0.0,U,5,4.215
27.0,S,11.1333,2,3,female,0,1.0,U,3,3.7111
14.0,C,30.0708,0,2,female,1,1.0,U,2,15.0354
4.0,S,16.7,1,3,female,1,1.0,P,3,5.566666666666666
58.0,S,26.55,0,1,female,0,1.0,U,1,26.55
20.0,S,8.05,0,3,male,0,0.0,A,1,8.05
39.0,S,31.275,5,3,male,1,0.0,U,7,4.4678571428571425
14.0,S,7.8542,0,3,female,0,0.0,U,1,7.8542
55.0,S,16.0,0,2,female,0,1.0,U,1,16.0
2.0,Q,29.125,1,3,male,4,0.0,U,6,4.854166666666667
29.881137667304014,S,13.0,0,2,male,0,1.0,U,1,13.0
31.0,S,18.0,0,3,female,1,0.0,U,2,9.0
29.881137667304014,C,7.225,0,3,female,0,1.0,U,1,7.225
35.0,S,26.0,0,2,male,0,0.0,U,1,26.0
34.0,S,13.0,0,2,male,0,1.0,U,1,13.0
15.0,Q,8.0292,0,3,female,0,1.0,U,1,8.0292
28.0,S,35.5,0,1,male,0,1.0,U,1,35.5
8.0,S,21.075,1,3,female,3,0.0,U,5,4.215
38.0,S,31.3875,5,3,female,1,1.0,U,7,4.483928571428572
29.881137667304014,C,7.225,0,3,male,0,0.0,U,1,7.225
19.0,S,263.0,2,1,male,3,0.0,U,6,43.833333333333336
29.881137667304014,Q,7.8792,0,3,female,0,1.0,U,1,7.8792
29.881137667304014,S,7.8958,0,3,male,0,0.0,U,1,7.8958
40.0,C,27.7208,0,1,male,0,0.0,P,1,27.7208
29.881137667304014,C,146.5208,0,1,female,1,1.0,P,2,73.2604
29.881137667304014,Q,7.75,0,3,female,0,1.0,U,1,7.75
66.0,S,10.5,0,2,male,0,0.0,C,1,10.5
28.0,C,82.1708,0,1,male,1,0.0,P,2,41.0854
42.0,S,52.0,0,1,male,1,0.0,U,2,26.0
29.881137667304014,C,7.2292,0,3,male,0,1.0,U,1,7.2292
21.0,S,8.05,0,3,male,0,0.0,A,1,8.05
18.0,S,18.0,0,3,female,2,0.0,U,3,6.0
14.0,C,11.2417,0,3,female,1,1.0,U,2,5.62085
40.0,S,9.475,0,3,female,1,0.0,U,2,4.7375
27.0,S,21.0,0,2,female,1,0.0,U,2,10.5
29.881137667304014,C,7.8958,0,3,male,0,0.0,U,1,7.8958
3.0,C,41.5792,2,2,female,1,1.0,S,4,10.3948
19.0,Q,7.8792,0,3,female,0,1.0,U,1,7.8792
29.881137667304014,S,8.05,0,3,male,0,0.0,S,1,8.05
29.881137667304014,Q,15.5,0,3,male,1,0.0,U,2,7.75
29.881137667304014,Q,7.75,0,3,female,0,1.0,U,1,7.75
29.881137667304014,C,21.6792,0,3,male,2,0.0,U,3,7.226400000000001
18.0,S,17.8,0,3,female,1,0.0,U,2,8.9
7.0,S,39.6875,1,3,male,4,0.0,U,6,6.614583333333333
21.0,S,7.8,0,3,male,0,0.0,A,1,7.8
49.0,C,76.7292,0,1,female,1,1.0,P,2,38.3646
29.0,S,26.0,0,2,female,1,1.0,U,2,13.0
65.0,C,61.9792,1,1,male,0,0.0,U,2,30.9896
29.881137667304014,S,35.5,0,1,male,0,1.0,U,1,35.5
21.0,S,10.5,0,2,female,0,1.0,C,1,10.5
28.5,C,7.2292,0,3,male,0,0.0,U,1,7.2292
5.0,S,27.75,2,2,female,1,1.0,C,4,6.9375
11.0,S,46.9,2,3,male,5,0.0,C,8,5.8625
22.0,C,7.2292,0,3,male,0,0.0,U,1,7.2292
38.0,S,80.0,0,1,female,0,1.0,U,1,80.0
45.0,S,83.475,0,1,male,1,0.0,U,2,41.7375
4.0,S,27.9,2,3,male,3,0.0,U,6,4.6499999999999995
29.881137667304014,C,27.7208,0,1,male,0,0.0,P,1,27.7208
29.881137667304014,C,15.2458,1,3,male,1,1.0,U,3,5.081933333333333
29.0,S,10.5,0,2,female,0,1.0,C,1,10.5
19.0,S,8.1583,0,3,male,0,0.0,S,1,8.1583
17.0,S,7.925,2,3,female,4,1.0,U,7,1.1321428571428571
26.0,S,8.6625,0,3,male,2,0.0,U,3,2.8874999999999997
32.0,S,10.5,0,2,male,0,0.0,C,1,10.5
16.0,S,46.9,2,3,female,5,0.0,C,8,5.8625
21.0,S,73.5,0,2,male,0,0.0,S,1,73.5
26.0,C,14.4542,0,3,male,1,0.0,U,2,7.2271
32.0,S,56.4958,0,3,male,0,1.0,U,1,56.4958
25.0,S,7.65,0,3,male,0,0.0,U,1,7.65
29.881137667304014,S,7.8958,0,3,male,0,0.0,U,1,7.8958
29.881137667304014,S,8.05,0,3,male,0,0.0,U,1,8.05
0.83,S,29.0,2,2,male,0,1.0,U,3,9.666666666666666
30.0,S,12.475,0,3,female,0,1.0,U,1,12.475
22.0,S,9.0,0,3,male,0,0.0,U,1,9.0
29.0,S,9.5,0,3,male,0,1.0,U,1,9.5
29.881137667304014,Q,7.7875,0,3,female,0,1.0,U,1,7.7875
28.0,S,47.1,0,1,male,0,0.0,U,1,47.1
17.0,S,10.5,0,2,female,0,1.0,S,1,10.5
33.0,S,15.85,0,3,female,3,1.0,U,4,3.9625
16.0,S,34.375,3,3,male,1,0.0,W,5,6.875
29.881137667304014,S,8.05,0,3,male,0,0.0,S,1,8.05
23.0,S,263.0,2,1,female,3,1.0,U,6,43.833333333333336
24.0,S,8.05,0,3,male,0,0.0,U,1,8.05
29.0,S,8.05,0,3,male,0,0.0,U,1,8.05
20.0,S,7.8542,0,3,male,0,0.0,U,1,7.8542
46.0,S,61.175,0,1,male,1,0.0,W,2,30.5875
26.0,S,20.575,2,3,male,1,0.0,C,4,5.14375
59.0,S,7.25,0,3,male,0,0.0,U,1,7.25
29.881137667304014,S,8.05,0,3,male,0,0.0,U,1,8.05
71.0,C,34.6542,0,1,male,0,0.0,P,1,34.6542
23.0,C,63.3583,1,1,male,0,1.0,P,2,31.67915
34.0,S,23.0,1,2,female,0,1.0,U,2,11.5
34.0,S,26.0,0,2,male,1,0.0,U,2,13.0
28.0,S,7.8958,0,3,female,0,0.0,U,1,7.8958
29.881137667304014,S,7.8958,0,3,male,0,0.0,U,1,7.8958
21.0,S,77.2875,1,1,male,0,0.0,U,2,38.64375
33.0,S,8.6542,0,3,male,0,0.0,U,1,8.6542
37.0,S,7.925,0,3,male,2,0.0,U,3,2.6416666666666666
28.0,S,7.8958,0,3,male,0,0.0,U,1,7.8958
21.0,S,7.65,0,3,female,0,1.0,U,1,7.65
29.881137667304014,S,7.775,0,3,male,0,1.0,U,1,7.775
38.0,S,7.8958,0,3,male,0,0.0,U,1,7.8958
29.881137667304014,Q,24.15,0,3,female,1,1.0,U,2,12.075
47.0,S,52.0,0,1,male,0,0.0,U,1,52.0
14.5,C,14.4542,0,3,female,1,0.0,U,2,7.2271
22.0,S,8.05,0,3,male,0,0.0,U,1,8.05
20.0,S,9.825,0,3,female,1,0.0,U,2,4.9125
17.0,C,14.4583,0,3,female,0,0.0,U,1,14.4583
21.0,S,7.925,0,3,male,0,0.0,S,1,7.925
70.5,Q,7.75,0,3,male,0,0.0,U,1,7.75
29.0,S,21.0,0,2,male,1,0.0,U,2,10.5
24.0,C,247.5208,1,1,male,0,0.0,P,2,123.7604
2.0,S,31.275,2,3,female,4,0.0,U,7,4.4678571428571425
21.0,S,73.5,0,2,male,2,0.0,S,3,24.5
29.881137667304014,S,8.05,0,3,male,0,0.0,A,1,8.05
32.5,C,30.0708,0,2,male,1,0.0,U,2,15.0354
32.5,S,13.0,0,2,female,0,1.0,U,1,13.0
54.0,S,77.2875,1,1,male,0,0.0,U,2,38.64375
12.0,C,11.2417,0,3,male,1,1.0,U,2,5.62085
29.881137667304014,Q,7.75,0,3,male,0,0.0,U,1,7.75
24.0,S,7.1417,0,3,male,0,1.0,C,1,7.1417
29.881137667304014,C,22.3583,1,3,female,1,1.0,U,3,7.452766666666666
45.0,S,6.975,0,3,male,0,0.0,U,1,6.975
33.0,C,7.8958,0,3,male,0,0.0,U,1,7.8958
20.0,S,7.05,0,3,male,0,0.0,S,1,7.05
47.0,S,14.5,0,3,female,1,0.0,A,2,7.25
29.0,S,26.0,0,2,female,1,1.0,U,2,13.0
25.0,S,13.0,0,2,male,0,0.0,C,1,13.0
23.0,C,15.0458,0,2,male,0,0.0,S,1,15.0458
19.0,S,26.2833,2,1,female,0,1.0,U,3,8.7611
37.0,S,53.1,0,1,male,1,0.0,U,2,26.55
16.0,S,9.2167,0,3,male,0,0.0,U,1,9.2167
24.0,C,79.2,0,1,male,0,0.0,P,1,79.2
29.881137667304014,C,15.2458,2,3,female,0,0.0,U,3,5.081933333333333
22.0,S,7.75,0,3,female,0,1.0,U,1,7.75
24.0,S,15.85,0,3,female,1,1.0,S,2,7.925
19.0,Q,6.75,0,3,male,0,0.0,U,1,6.75
18.0,S,11.5,0,2,male,0,0.0,U,1,11.5
19.0,S,36.75,1,2,male,1,0.0,C,3,12.25
27.0,S,7.7958,0,3,male,0,1.0,U,1,7.7958
9.0,S,34.375,2,3,female,2,0.0,W,5,6.875
36.5,S,26.0,2,2,male,0,0.0,U,3,8.666666666666666
42.0,S,13.0,0,2,male,0,0.0,U,1,13.0
51.0,S,12.525,0,2,male,0,0.0,S,1,12.525
22.0,S,66.6,0,1,female,1,1.0,U,2,33.3
55.5,S,8.05,0,3,male,0,0.0,A,1,8.05
40.5,S,14.5,2,3,male,0,0.0,A,3,4.833333333333333
29.881137667304014,S,7.3125,0,3,male,0,0.0,F,1,7.3125
51.0,C,61.3792,1,1,male,0,0.0,P,2,30.6896
16.0,Q,7.7333,0,3,female,0,1.0,U,1,7.7333
30.0,S,8.05,0,3,male,0,0.0,S,1,8.05
29.881137667304014,S,8.6625,0,3,male,0,0.0,U,1,8.6625
29.881137667304014,S,69.55,2,3,male,8,0.0,C,11,6.322727272727272
44.0,S,16.1,1,3,male,0,0.0,U,2,8.05
40.0,S,15.75,0,2,female,0,1.0,C,1,15.75
26.0,S,7.775,0,3,male,0,0.0,U,1,7.775
17.0,S,8.6625,0,3,male,0,0.0,U,1,8.6625
1.0,S,39.6875,1,3,male,4,0.0,U,6,6.614583333333333
9.0,S,20.525,2,3,male,0,1.0,U,3,6.841666666666666
29.881137667304014,S,55.0,1,1,female,0,1.0,U,2,27.5
45.0,S,27.9,4,3,female,1,0.0,U,6,4.6499999999999995
29.881137667304014,S,25.925,0,1,male,0,0.0,P,1,25.925
28.0,S,56.4958,0,3,male,0,0.0,U,1,56.4958
61.0,S,33.5,0,1,male,0,0.0,U,1,33.5
4.0,Q,29.125,1,3,male,4,0.0,U,6,4.854166666666667
1.0,S,11.1333,1,3,female,1,1.0,U,3,3.7111
21.0,S,7.925,0,3,male,0,0.0,S,1,7.925
56.0,C,30.6958,0,1,male,0,0.0,U,1,30.6958
18.0,S,7.8542,1,3,male,1,0.0,U,3,2.6180666666666665
29.881137667304014,S,25.4667,1,3,male,3,0.0,U,5,5.0933399999999995
50.0,C,28.7125,0,1,female,0,0.0,P,1,28.7125
30.0,S,13.0,0,2,male,0,0.0,U,1,13.0
36.0,S,0.0,0,3,male,0,0.0,L,1,0.0
29.881137667304014,S,69.55,2,3,female,8,0.0,C,11,6.322727272727272
29.881137667304014,C,15.05,0,2,male,0,0.0,S,1,15.05
9.0,S,31.3875,2,3,male,4,0.0,U,7,4.483928571428572
1.0,S,39.0,1,2,male,2,1.0,U,4,9.75
4.0,S,22.025,2,3,female,0,1.0,U,3,7.341666666666666
29.881137667304014,S,50.0,0,1,male,0,0.0,U,1,50.0
29.881137667304014,Q,15.5,0,3,female,1,1.0,U,2,7.75
45.0,S,26.55,0,1,male,0,1.0,U,1,26.55
40.0,Q,15.5,1,3,male,1,0.0,U,3,5.166666666666667
36.0,S,7.8958,0,3,male,0,0.0,U,1,7.8958
32.0,S,13.0,0,2,female,0,1.0,U,1,13.0
19.0,S,13.0,0,2,male,0,0.0,U,1,13.0
19.0,S,7.8542,0,3,female,1,1.0,U,2,3.9271
3.0,S,26.0,1,2,male,1,1.0,U,3,8.666666666666666
44.0,C,27.7208,0,1,female,0,1.0,P,1,27.7208
58.0,C,146.5208,0,1,female,0,1.0,P,1,146.5208
29.881137667304014,Q,7.75,0,3,male,0,0.0,U,1,7.75
42.0,S,8.4042,1,3,male,0,0.0,U,2,4.2021
29.881137667304014,Q,7.75,0,3,female,0,1.0,U,1,7.75
24.0,S,13.0,0,2,female,0,0.0,U,1,13.0
28.0,S,9.5,0,3,male,0,0.0,U,1,9.5
29.881137667304014,S,69.55,2,3,male,8,0.0,C,11,6.322727272727272
34.0,S,6.4958,0,3,male,0,0.0,U,1,6.4958
45.5,C,7.225,0,3,male,0,0.0,U,1,7.225
18.0,S,8.05,0,3,male,0,1.0,A,1,8.05
2.0,S,10.4625,1,3,female,0,0.0,U,2,5.23125
32.0,S,15.85,0,3,male,1,0.0,U,2,7.925
26.0,C,18.7875,0,3,male,0,1.0,U,1,18.7875
16.0,Q,7.75,0,3,female,0,1.0,U,1,7.75
40.0,C,31.0,0,1,male,0,1.0,U,1,31.0
24.0,S,7.05,0,3,male,0,0.0,S,1,7.05
35.0,S,21.0,0,2,female,0,1.0,F,1,21.0
22.0,S,7.25,0,3,male,0,0.0,A,1,7.25
30.0,S,13.0,0,2,male,0,0.0,U,1,13.0
29.881137667304014,Q,7.75,0,3,male,1,0.0,U,2,3.875
31.0,C,113.275,0,1,female,1,1.0,U,2,56.6375
27.0,S,7.925,0,3,female,0,1.0,S,1,7.925
42.0,S,27.0,0,2,male,1,0.0,U,2,13.5
32.0,C,76.2917,0,1,female,0,1.0,U,1,76.2917
30.0,S,10.5,0,2,male,0,0.0,W,1,10.5
16.0,S,8.05,0,3,male,0,1.0,S,1,8.05
27.0,S,13.0,0,2,male,0,0.0,U,1,13.0
51.0,S,8.05,0,3,male,0,0.0,U,1,8.05
29.881137667304014,S,7.8958,0,3,male,0,0.0,U,1,7.8958
38.0,S,90.0,0,1,male,1,1.0,U,2,45.0
22.0,S,9.35,0,3,male,0,0.0,P,1,9.35
19.0,S,10.5,0,2,male,0,1.0,S,1,10.5
20.5,S,7.25,0,3,male,0,0.0,A,1,7.25
18.0,S,13.0,0,2,male,0,0.0,U,1,13.0
29.881137667304014,S,25.4667,1,3,female,3,0.0,U,5,5.0933399999999995
35.0,S,83.475,0,1,female,1,1.0,U,2,41.7375
29.0,S,7.775,0,3,male,0,0.0,U,1,7.775
59.0,S,13.5,0,2,male,0,0.0,U,1,13.5
5.0,S,31.3875,2,3,female,4,1.0,U,7,4.483928571428572
24.0,S,10.5,0,2,male,0,0.0,C,1,10.5
29.881137667304014,S,7.55,0,3,female,0,0.0,W,1,7.55
44.0,S,26.0,0,2,male,1,0.0,U,2,13.0
8.0,S,26.25,2,2,female,0,1.0,C,3,8.75
19.0,S,10.5,0,2,male,0,0.0,U,1,10.5
33.0,S,12.275,0,2,male,0,0.0,S,1,12.275
29.881137667304014,C,14.4542,0,3,female,1,0.0,U,2,7.2271
29.881137667304014,Q,15.5,0,3,female,1,1.0,U,2,7.75
29.0,S,10.5,0,2,male,0,0.0,W,1,10.5
22.0,S,7.125,0,3,male,0,0.0,S,1,7.125
30.0,C,7.225,0,3,male,0,0.0,U,1,7.225
44.0,Q,90.0,0,1,male,2,0.0,U,3,30.0
25.0,S,7.775,0,3,female,0,0.0,U,1,7.775
24.0,S,14.5,2,2,female,0,1.0,U,3,4.833333333333333
37.0,S,52.5542,1,1,male,1,1.0,U,3,17.518066666666666
54.0,S,26.0,0,2,male,1,0.0,U,2,13.0
29.881137667304014,S,7.25,0,3,male,0,0.0,U,1,7.25
29.0,S,10.4625,1,3,female,1,0.0,U,3,3.4875000000000003
62.0,S,26.55,0,1,male,0,0.0,U,1,26.55
30.0,S,16.1,0,3,male,1,0.0,A,2,8.05
41.0,S,20.2125,2,3,female,0,0.0,U,3,6.7375
29.0,C,15.2458,2,3,female,0,1.0,U,3,5.081933333333333
29.881137667304014,C,79.2,0,1,female,0,1.0,P,1,79.2
30.0,S,86.5,0,1,female,0,1.0,U,1,86.5
35.0,C,512.3292,0,1,female,0,1.0,P,1,512.3292
50.0,S,26.0,1,2,female,0,1.0,U,2,13.0
29.881137667304014,Q,7.75,0,3,male,0,0.0,U,1,7.75
3.0,S,31.3875,2,3,male,4,1.0,U,7,4.483928571428572
52.0,S,79.65,1,1,male,1,0.0,U,3,26.55
40.0,S,0.0,0,1,male,0,0.0,U,1,0.0
29.881137667304014,Q,7.75,0,3,female,0,0.0,U,1,7.75
36.0,S,10.5,0,2,male,0,0.0,C,1,10.5
16.0,S,39.6875,1,3,male,4,0.0,U,6,6.614583333333333
25.0,S,7.775,0,3,male,1,1.0,U,2,3.8875
58.0,S,153.4625,1,1,female,0,1.0,P,2,76.73125
35.0,S,135.6333,0,1,female,0,1.0,P,1,135.6333
29.881137667304014,S,31.0,0,1,male,0,0.0,U,1,31.0
25.0,S,0.0,0,3,male,0,1.0,L,1,0.0
41.0,S,19.5,1,2,female,0,1.0,U,2,9.75
37.0,C,29.7,1,1,male,0,0.0,P,2,14.85
29.881137667304014,Q,7.75,0,3,female,0,1.0,U,1,7.75
63.0,S,77.9583,0,1,female,1,1.0,U,2,38.97915
45.0,S,7.75,0,3,female,0,0.0,U,1,7.75
29.881137667304014,S,0.0,0,2,male,0,0.0,U,1,0.0
7.0,Q,29.125,1,3,male,4,0.0,U,6,4.854166666666667
35.0,S,20.25,1,3,female,1,1.0,C,3,6.75
65.0,Q,7.75,0,3,male,0,0.0,U,1,7.75
28.0,S,7.8542,0,3,male,0,0.0,U,1,7.8542
16.0,S,9.5,0,3,male,0,0.0,U,1,9.5
19.0,S,8.05,0,3,male,0,1.0,A,1,8.05
29.881137667304014,S,26.0,0,1,male,0,0.0,U,1,26.0
33.0,C,8.6625,0,3,male,0,0.0,U,1,8.6625
30.0,S,9.5,0,3,male,0,1.0,U,1,9.5
22.0,S,7.8958,0,3,male,0,0.0,U,1,7.8958
42.0,S,13.0,0,2,male,0,1.0,U,1,13.0
22.0,Q,7.75,0,3,female,0,1.0,U,1,7.75
26.0,S,78.85,0,1,female,0,1.0,U,1,78.85
19.0,C,91.0792,0,1,female,1,1.0,U,2,45.5396
36.0,C,12.875,0,2,male,0,0.0,S,1,12.875
24.0,S,8.85,0,3,female,0,0.0,U,1,8.85
24.0,S,7.8958,0,3,male,0,0.0,U,1,7.8958
